theta, sigma
9.88, 1.35905
9.89, 1.35905
9.9, 1.35905
9.91, 1.35905
9.92, 1.35905
9.93, 1.35905
9.94, 1.35905
9.95, 1.35905
9.96, 1.35905
9.97, 1.35905
9.98, 1.35905
9.99, 1.35905
10, 1.35905
10.01, 1.35905
10.02, 1.35905
10.03, 1.35905
10.04, 1.35905
10.05, 1.35906
10.06, 1.35906
10.07, 1.35906
10.08, 1.35906
10.09, 1.35906
10.1, 1.35906
10.11, 1.35906
10.12, 1.35906
10.13, 1.35906
10.14, 1.35906
10.15, 1.35906
10.16, 1.35906
10.17, 1.35906
10.18, 1.35906
10.19, 1.35906
10.2, 1.35906
10.21, 1.35906
10.22, 1.35906
10.23, 1.35906
10.24, 1.35906
10.25, 1.35906
10.26, 1.35906
10.27, 1.35906
10.28, 1.35906
10.29, 1.35906
10.3, 1.35906
10.31, 1.35906
10.32, 1.35907
10.33, 1.35907
10.34, 1.35907
10.35, 1.35907
10.36, 1.35907
10.37, 1.35907
10.38, 1.35907
10.39, 1.35907
10.4, 1.35907
10.41, 1.35907
10.42, 1.35907
10.43, 1.35907
10.44, 1.35907
10.45, 1.35907
10.46, 1.35907
10.47, 1.35907
10.48, 1.35907
10.49, 1.35907
10.5, 1.35907
10.51, 1.35907
10.52, 1.35907
10.53, 1.35907
10.54, 1.35907
10.55, 1.35907
10.56, 1.35907
10.57, 1.35907
10.58, 1.35907
10.59, 1.35907
10.6, 1.35907
10.61, 1.35907
10.62, 1.35907
10.63, 1.35907
10.64, 1.35907
10.65, 1.35907
10.66, 1.35907
10.67, 1.35908
10.68, 1.35908
10.69, 1.35908
10.7, 1.35908
10.71, 1.35908
10.72, 1.35908
10.73, 1.35908
10.74, 1.35908
10.75, 1.35908
10.76, 1.35908
10.77, 1.35908
10.78, 1.35908
10.79, 1.35908
10.8, 1.35908
10.81, 1.35908
10.82, 1.35908
10.83, 1.35908
10.84, 1.35908
10.85, 1.35908
10.86, 1.35908
10.87, 1.35908
10.88, 1.35908
10.89, 1.35908
10.9, 1.35908
10.91, 1.35908
10.92, 1.35908
10.93, 1.35908
10.94, 1.35908
10.95, 1.35908
10.96, 1.35908
10.97, 1.35908
10.98, 1.35908
10.99, 1.35908
11, 1.35908
11.01, 1.35908
11.02, 1.35908
11.03, 1.35908
11.04, 1.35908
11.05, 1.35908
11.06, 1.35908
11.07, 1.35908
11.08, 1.35908
11.09, 1.35908
11.1, 1.35908
11.11, 1.35908
11.12, 1.35908
11.13, 1.35908
11.14, 1.35908
11.15, 1.35908
11.16, 1.35908
11.17, 1.35908
11.18, 1.35908
11.19, 1.35908
11.2, 1.35908
11.21, 1.35908
11.22, 1.35908
11.23, 1.35909
11.24, 1.35909
11.25, 1.35909
11.26, 1.35909
11.27, 1.35909
11.28, 1.35909
11.29, 1.35909
11.3, 1.35909
11.31, 1.35909
11.32, 1.35909
11.33, 1.35909
11.34, 1.35909
11.35, 1.35909
11.36, 1.35909
11.37, 1.35909
11.38, 1.35909
11.39, 1.35909
11.4, 1.35909
11.41, 1.35909
11.42, 1.35909
11.43, 1.35909
11.44, 1.35909
11.45, 1.35909
11.46, 1.35909
11.47, 1.35909
11.48, 1.35909
11.49, 1.35909
11.5, 1.35909
11.51, 1.35909
11.52, 1.35909
11.53, 1.35909
11.54, 1.35909
11.55, 1.35909
11.56, 1.35909
11.57, 1.35909
11.58, 1.35909
11.59, 1.35909
11.6, 1.35909
11.61, 1.35909
11.62, 1.35909
11.63, 1.35909
11.64, 1.35909
11.65, 1.35909
11.66, 1.35909
11.67, 1.35909
11.68, 1.35909
11.69, 1.35909
11.7, 1.35909
11.71, 1.35909
11.72, 1.35909
11.73, 1.35909
11.74, 1.35909
11.75, 1.35909
11.76, 1.35909
11.77, 1.35909
11.78, 1.35909
11.79, 1.35909
11.8, 1.35909
11.81, 1.35909
11.82, 1.35909
11.83, 1.35909
11.84, 1.35909
11.85, 1.35909
11.86, 1.35909
11.87, 1.35909
11.88, 1.35909
11.89, 1.35909
11.9, 1.35909
11.91, 1.35909
11.92, 1.35909
11.93, 1.35909
11.94, 1.35909
11.95, 1.35909
11.96, 1.35909
11.97, 1.35909
11.98, 1.35909
11.99, 1.35909
12, 1.35909
12.01, 1.35909
12.02, 1.35909
12.03, 1.35909
12.04, 1.35909
12.05, 1.35909
12.06, 1.35909
12.07, 1.35909
12.08, 1.35909
12.09, 1.35909
12.1, 1.35909
12.11, 1.35909
12.12, 1.35909
12.13, 1.35909
12.14, 1.35909
12.15, 1.35909
12.16, 1.35909
12.17, 1.35909
12.18, 1.35909
12.19, 1.35909
12.2, 1.35909
12.21, 1.35909
12.22, 1.35909
12.23, 1.35909
12.24, 1.35909
12.25, 1.35909
12.26, 1.35909
12.27, 1.35909
12.28, 1.35909
12.29, 1.35909
12.3, 1.35909
12.31, 1.35909
12.32, 1.35909
12.33, 1.35909
12.34, 1.35909
12.35, 1.35909
12.36, 1.35909
12.37, 1.35909
12.38, 1.35909
12.39, 1.35909
12.4, 1.35909
12.41, 1.35909
12.42, 1.35909
12.43, 1.35909
12.44, 1.35909
12.45, 1.35909
12.46, 1.35909
12.47, 1.35909
12.48, 1.35909
12.49, 1.35909
12.5, 1.35909
12.51, 1.35909
12.52, 1.35909
12.53, 1.35909
12.54, 1.35909
12.55, 1.35909
12.56, 1.35909
12.57, 1.35909
12.58, 1.35909
12.59, 1.35909
12.6, 1.35909
12.61, 1.35909
12.62, 1.35909
12.63, 1.3591
12.64, 1.3591
12.65, 1.3591
12.66, 1.3591
12.67, 1.3591
12.68, 1.3591
12.69, 1.3591
12.7, 1.3591
12.71, 1.3591
12.72, 1.3591
12.73, 1.3591
12.74, 1.3591
12.75, 1.3591
12.76, 1.3591
12.77, 1.3591
12.78, 1.3591
12.79, 1.3591
12.8, 1.3591
12.81, 1.3591
12.82, 1.3591
12.83, 1.3591
12.84, 1.3591
12.85, 1.3591
12.86, 1.3591
12.87, 1.3591
12.88, 1.3591
12.89, 1.3591
12.9, 1.3591
12.91, 1.3591
12.92, 1.3591
12.93, 1.3591
12.94, 1.3591
12.95, 1.3591
12.96, 1.3591
12.97, 1.3591
12.98, 1.3591
12.99, 1.3591
13, 1.3591
13.01, 1.3591
13.02, 1.3591
13.03, 1.3591
13.04, 1.3591
13.05, 1.3591
13.06, 1.3591
13.07, 1.3591
13.08, 1.3591
13.09, 1.3591
13.1, 1.3591
13.11, 1.3591
13.12, 1.3591
13.13, 1.3591
13.14, 1.3591
13.15, 1.3591
13.16, 1.3591
13.17, 1.3591
13.18, 1.3591
13.19, 1.3591
13.2, 1.3591
13.21, 1.3591
13.22, 1.3591
13.23, 1.3591
13.24, 1.3591
13.25, 1.3591
13.26, 1.3591
13.27, 1.3591
13.28, 1.3591
13.29, 1.3591
13.3, 1.3591
13.31, 1.3591
13.32, 1.3591
13.33, 1.3591
13.34, 1.3591
13.35, 1.3591
13.36, 1.3591
13.37, 1.3591
13.38, 1.3591
13.39, 1.3591
13.4, 1.3591
13.41, 1.3591
13.42, 1.3591
13.43, 1.3591
13.44, 1.3591
13.45, 1.3591
13.46, 1.3591
13.47, 1.3591
13.48, 1.3591
13.49, 1.3591
13.5, 1.3591
13.51, 1.3591
13.52, 1.3591
13.53, 1.3591
13.54, 1.3591
13.55, 1.3591
13.56, 1.3591
13.57, 1.3591
13.58, 1.3591
13.59, 1.3591
13.6, 1.3591
13.61, 1.3591
13.62, 1.3591
13.63, 1.3591
13.64, 1.3591
13.65, 1.3591
13.66, 1.3591
13.67, 1.3591
13.68, 1.3591
13.69, 1.3591
13.7, 1.3591
13.71, 1.3591
13.72, 1.3591
13.73, 1.3591
13.74, 1.3591
13.75, 1.3591
13.76, 1.3591
13.77, 1.3591
13.78, 1.3591
13.79, 1.3591
13.8, 1.3591
13.81, 1.3591
13.82, 1.3591
13.83, 1.3591
13.84, 1.3591
13.85, 1.3591
13.86, 1.3591
13.87, 1.3591
13.88, 1.3591
13.89, 1.3591
13.9, 1.3591
13.91, 1.3591
13.92, 1.3591
13.93, 1.3591
13.94, 1.3591
13.95, 1.3591
13.96, 1.3591
13.97, 1.3591
13.98, 1.3591
13.99, 1.3591
14, 1.3591
